ID Groupe,ID Passager,Catégorie,Classe,Transit Time,Poids,x,y,Siège
0,0,hommes,Business,60.0,80.0,2,5,2D
1,1,femmes,Business,90.0,65.0,6,7,6F
2,2,femmes,Economie,inf,65.01,17,1,18A
3,3,hommes,Economie,inf,80.01,26,7,27F
4,4,hommes,Economie,inf,80.02,21,5,22D
5,5,femmes,Economie,inf,65.02,15,6,16E
6,6,femmes,Issue de secours,inf,65.03,11,6,11E
6,7,hommes,Issue de secours,inf,80.03,11,5,11D
7,8,hommes,Economie,inf,80.04,17,7,18F
8,9,hommes,Economie,inf,80.05,16,1,17A
9,10,femmes,Economie,inf,65.04,15,2,16B
10,11,hommes,Economie,inf,80.06,21,1,22A
11,12,hommes,Economie,inf,80.07,13,1,14A
12,13,femmes,Business,80.0,65.05,4,3,4C
13,14,femmes,Business,60.0,65.06,3,3,3C
13,15,hommes,Business,60.0,80.08,3,2,3B
14,16,femmes,Business,100.0,65.07,7,1,7A
14,17,hommes,Business,100.0,80.09,7,2,7B
15,18,hommes,Economie,inf,80.1,20,6,21E
16,19,hommes,Business,120.0,80.11,8,7,8F
17,20,femmes,Issue de secours,545.0,65.08,11,2,11B
17,21,femmes,Economie,545.0,65.09,10,3,10C
17,22,hommes,Issue de secours,545.0,80.12,11,3,11C
17,23,hommes,Economie,545.0,80.13,10,2,10B
18,24,hommes,Economie,inf,80.14,26,3,27C
19,25,femmes,Economie,inf,65.1,23,7,24F
19,26,hommes,Economie,inf,80.15,23,6,24E
20,27,hommes,Economie,inf,80.16,13,6,14E
21,28,hommes,Economie,inf,80.17,24,6,25E
22,29,femmes,Business,65.0,65.11,3,1,3A
23,30,femmes,Business,55.0,65.12,2,7,2F
24,31,hommes,Economie,inf,80.18,25,7,26F
25,32,femmes,Economie,inf,65.13,27,7,28F
26,33,femmes,Economie,inf,65.14,25,2,26B
27,34,hommes,Economie,inf,80.19,25,6,26E
28,35,femmes,Economie,inf,65.15,16,3,17C
28,36,hommes,Economie,inf,80.2,16,2,17B
29,37,femmes,Economie,inf,65.16,23,2,24B
30,38,femmes,Business,65.0,65.17,3,7,3F
31,39,hommes,Business,50.0,80.21,2,3,2C
