ID Groupe,ID Passager,Catégorie,Classe,Transit Time,Poids,x,y,Siège
0,0,femmes,Economie,inf,65.0,18,6,18E
0,1,enfants,Economie,inf,35.0,19,3,19C
0,2,enfants,Economie,inf,35.01,19,6,19E
0,3,enfants,Economie,inf,35.02,19,2,19B
0,4,enfants,Economie,inf,35.03,18,2,18B
0,5,enfants,Economie,inf,35.04,18,3,18C
0,6,enfants,Economie,inf,35.05,19,5,19D
0,7,enfants,Economie,inf,35.06,18,5,18D
0,8,enfants,Economie,inf,35.07,19,1,19A
0,9,enfants,Economie,inf,35.08,18,1,18A
0,10,enfants,Economie,inf,35.09,19,7,19F
1,11,enfants,Economie,inf,35.1,33,7,32F
1,12,enfants,Economie,inf,35.11,33,6,32E
1,13,enfants,Economie,inf,35.12,32,5,31D
1,14,enfants,Economie,inf,35.13,32,6,31E
1,15,enfants,Economie,inf,35.14,32,7,31F
2,16,hommes,Economie,inf,80.0,21,2,21B
2,17,enfants,Economie,inf,35.15,21,1,21A
2,18,enfants,Economie,inf,35.16,21,3,21C
3,19,enfants,Economie,inf,35.17,17,3,17C
4,20,enfants,Economie,inf,35.18,33,5,32D
5,21,hommes,Economie,inf,80.01,20,2,20B
5,22,enfants,Economie,inf,35.19,20,1,20A
5,23,enfants,Economie,inf,35.2,20,3,20C
6,24,hommes,Economie,60.0,80.02,11,6,10E
6,25,enfants,Economie,60.0,35.21,11,5,10D
6,26,enfants,Economie,60.0,35.22,11,7,10F
7,27,enfants,Economie,inf,35.23,28,5,27D
7,28,enfants,Economie,inf,35.24,29,6,28E
7,29,enfants,Economie,inf,35.25,29,2,28B
7,30,enfants,Economie,inf,35.26,28,6,27E
7,31,enfants,Economie,inf,35.27,29,3,28C
7,32,enfants,Economie,inf,35.28,28,1,27A
7,33,enfants,Economie,inf,35.29,29,1,28A
7,34,enfants,Economie,inf,35.3,28,2,27B
7,35,enfants,Economie,inf,35.31,29,5,28D
7,36,enfants,Economie,inf,35.32,28,3,27C
8,37,enfants,Economie,inf,35.33,31,6,30E
8,38,enfants,Economie,inf,35.34,31,5,30D
9,39,hommes,Issue de secours,60.0,80.03,10,2,9B
9,40,hommes,Issue de secours,60.0,80.04,10,1,9A
10,41,enfants,Economie,inf,35.35,21,7,21F
11,42,hommes,Issue de secours,inf,80.05,10,6,9E
12,43,enfants,Economie,inf,35.36,33,2,32B
13,44,enfants,Economie,inf,35.37,33,1,32A
14,45,enfants,Economie,60.0,35.38,15,1,15A
15,46,enfants,Economie,inf,35.39,33,3,32C
16,47,femmes,Economie,inf,65.01,17,6,17E
16,48,enfants,Economie,inf,35.4,17,7,17F
17,49,femmes,Issue de secours,inf,65.02,24,7,23F
18,50,enfants,Economie,inf,35.41,32,3,31C
19,51,enfants,Economie,inf,35.42,30,7,29F
20,52,femmes,Economie,85.0,65.03,12,5,11D
20,53,femmes,Economie,85.0,65.04,12,1,11A
20,54,enfants,Economie,85.0,35.43,14,1,14A
20,55,enfants,Economie,85.0,35.44,14,5,14D
20,56,enfants,Economie,85.0,35.45,14,6,14E
20,57,enfants,Economie,85.0,35.46,14,3,14C
20,58,enfants,Economie,85.0,35.47,13,1,12A
20,59,enfants,Economie,85.0,35.48,14,7,14F
20,60,enfants,Economie,85.0,35.49,13,6,12E
20,61,enfants,Economie,85.0,35.5,13,2,12B
20,62,enfants,Economie,85.0,35.51,13,5,12D
20,63,enfants,Economie,85.0,35.52,12,6,11E
20,64,enfants,Economie,85.0,35.53,13,7,12F
20,65,enfants,Economie,85.0,35.54,14,2,14B
20,66,enfants,Economie,85.0,35.55,12,3,11C
20,67,enfants,Economie,85.0,35.56,12,2,11B
20,68,enfants,Economie,85.0,35.57,12,7,11F
21,69,femmes,Economie,inf,65.05,25,6,24E
21,70,femmes,Economie,inf,65.06,25,2,24B
21,71,enfants,Economie,inf,35.58,27,2,26B
21,72,enfants,Economie,inf,35.59,26,2,25B
21,73,enfants,Economie,inf,35.6,27,3,26C
21,74,enfants,Economie,inf,35.61,27,5,26D
21,75,enfants,Economie,inf,35.62,27,7,26F
21,76,enfants,Economie,inf,35.63,27,6,26E
21,77,enfants,Economie,inf,35.64,25,3,24C
21,78,enfants,Economie,inf,35.65,26,7,25F
21,79,enfants,Economie,inf,35.66,25,1,24A
21,80,enfants,Economie,inf,35.67,26,6,25E
21,81,enfants,Economie,inf,35.68,26,5,25D
21,82,enfants,Economie,inf,35.69,27,1,26A
21,83,enfants,Economie,inf,35.7,25,5,24D
21,84,enfants,Economie,inf,35.71,26,1,25A
21,85,enfants,Economie,inf,35.72,26,3,25C
22,86,enfants,Economie,60.0,35.73,11,1,10A
23,87,enfants,Economie,85.0,35.74,16,3,16C
24,88,femmes,Issue de secours,inf,65.07,24,1,23A
25,89,femmes,Economie,inf,65.08,16,2,16B
25,90,hommes,Economie,inf,80.06,16,1,16A
26,91,hommes,Issue de secours,inf,80.07,24,2,23B
27,92,enfants,Economie,inf,35.75,31,7,30F
28,93,enfants,Economie,inf,35.76,31,1,30A
29,94,hommes,Issue de secours,inf,80.08,10,7,9F
30,95,enfants,Economie,85.0,35.77,17,1,17A
30,96,enfants,Economie,85.0,35.78,17,2,17B
31,97,enfants,Economie,inf,35.79,30,6,29E
31,98,enfants,Economie,inf,35.8,30,5,29D
32,99,enfants,Economie,85.0,35.81,15,5,15D
33,100,enfants,Economie,inf,35.82,30,1,29A
34,101,enfants,Economie,60.0,35.83,11,3,10C
34,102,enfants,Economie,60.0,35.84,11,2,10B
35,103,enfants,Economie,inf,35.85,32,2,31B
35,104,enfants,Economie,inf,35.86,32,1,31A
36,105,enfants,Economie,inf,35.87,22,3,22C
36,106,enfants,Economie,inf,35.88,22,2,22B
37,107,femmes,Issue de secours,85.0,65.09,10,3,9C
38,108,femmes,Issue de secours,inf,65.1,24,6,23E
39,109,enfants,Economie,inf,35.89,34,2,33B
39,110,enfants,Economie,inf,35.9,34,1,33A
40,111,enfants,Economie,85.0,35.91,15,7,15F
40,112,enfants,Economie,85.0,35.92,15,6,15E
41,113,enfants,Economie,inf,35.93,25,7,24F
42,114,hommes,Economie,inf,80.09,16,6,16E
