ID Groupe,ID Passager,Catégorie,Classe,Transit Time,Poids,x,y,Siège
0,0,femmes,Business,55.0,65.0,1,5,1D
1,1,enfants,Economie,inf,35.0,21,1,21A
2,2,femmes,Economie,75.0,65.01,17,7,17F
2,3,WHCR,Economie,75.0,70.0,17,6,17E
3,4,femmes,Business,195.0,65.02,2,7,2F
3,5,hommes,Business,195.0,80.0,2,5,2D
4,6,femmes,Issue de secours,inf,65.03,24,7,23F
5,7,femmes,Economie,inf,65.04,33,6,32E
5,8,femmes,Economie,inf,65.05,33,7,32F
6,9,WHCR,Economie,inf,70.01,21,2,21B
7,10,femmes,Economie,inf,65.06,19,2,19B
7,11,hommes,Economie,inf,80.01,19,5,19D
7,12,hommes,Economie,inf,80.02,19,6,19E
7,13,hommes,Economie,inf,80.03,19,7,19F
7,14,hommes,Economie,inf,80.04,19,3,19C
8,15,femmes,Economie,inf,65.07,35,6,34E
8,16,femmes,Economie,inf,65.08,35,3,34C
8,17,femmes,Economie,inf,65.09,35,7,34F
8,18,femmes,Economie,inf,65.1,35,5,34D
9,19,femmes,Economie,inf,65.11,29,1,28A
10,20,femmes,Economie,inf,65.12,31,2,30B
10,21,hommes,Economie,inf,80.05,31,3,30C
11,22,femmes,Economie,inf,65.13,29,7,28F
11,23,femmes,Economie,inf,65.14,29,2,28B
11,24,femmes,Economie,inf,65.15,29,3,28C
11,25,femmes,Economie,inf,65.16,29,5,28D
11,26,femmes,Economie,inf,65.17,29,6,28E
12,27,femmes,Economie,75.0,65.18,12,2,11B
12,28,femmes,Economie,75.0,65.19,12,3,11C
13,29,femmes,Economie,55.0,65.2,11,6,10E
13,30,femmes,Economie,55.0,65.21,11,2,10B
13,31,femmes,Economie,55.0,65.22,11,5,10D
13,32,femmes,Economie,55.0,65.23,11,7,10F
13,33,hommes,Economie,55.0,80.06,11,3,10C
14,34,femmes,Economie,inf,65.24,19,1,19A
15,35,WHCR,Issue de secours,55.0,70.02,10,6,9E
16,36,femmes,Business,inf,65.25,2,1,2A
16,37,hommes,Business,inf,80.07,2,3,2C
17,38,femmes,Economie,75.0,65.26,13,3,12C
17,39,femmes,Economie,75.0,65.27,13,2,12B
17,40,femmes,Economie,75.0,65.28,13,5,12D
17,41,femmes,Economie,75.0,65.29,13,6,12E
17,42,femmes,Economie,75.0,65.3,13,7,12F
18,43,femmes,Economie,195.0,65.31,16,7,16F
19,44,femmes,Economie,75.0,65.32,15,5,15D
19,45,femmes,Economie,75.0,65.33,15,6,15E
20,46,WHCR,Issue de secours,inf,70.03,24,6,23E
21,47,femmes,Economie,inf,65.34,35,1,34A
22,48,femmes,Economie,inf,65.35,28,1,27A
22,49,hommes,Economie,inf,80.08,28,3,27C
22,50,enfants,Economie,inf,35.01,28,2,27B
23,51,femmes,Economie,75.0,65.36,14,1,14A
23,52,femmes,Economie,75.0,65.37,14,3,14C
23,53,femmes,Economie,75.0,65.38,15,3,15C
23,54,femmes,Economie,75.0,65.39,14,2,14B
23,55,femmes,Economie,75.0,65.4,15,1,15A
23,56,femmes,Economie,75.0,65.41,15,2,15B
24,57,femmes,Economie,inf,65.42,22,3,22C
25,58,enfants,Economie,55.0,35.02,12,7,11F
26,59,hommes,Economie,inf,80.09,22,6,22E
26,60,enfants,Economie,inf,35.03,22,5,22D
27,61,enfants,Economie,inf,35.04,28,5,27D
28,62,enfants,Economie,inf,35.05,28,6,27E
29,63,hommes,Business,inf,80.1,4,5,4D
30,64,femmes,Business,inf,65.43,3,1,3A
31,65,femmes,Business,inf,65.44,8,7,8F
32,66,enfants,Economie,55.0,35.06,11,1,10A
33,67,enfants,Economie,inf,35.07,26,7,25F
34,68,femmes,Business,inf,65.45,7,7,7F
35,69,femmes,Business,55.0,65.46,1,3,1C
35,70,hommes,Business,55.0,80.11,1,1,1A
36,71,femmes,Business,inf,65.47,6,5,6D
37,72,femmes,Economie,inf,65.48,18,1,18A
37,73,femmes,Economie,inf,65.49,18,3,18C
37,74,hommes,Economie,inf,80.12,18,2,18B
38,75,femmes,Economie,inf,65.5,36,2,35B
38,76,hommes,Economie,inf,80.13,36,1,35A
39,77,hommes,Economie,inf,80.14,35,2,34B
40,78,hommes,Economie,inf,80.15,34,6,33E
40,79,hommes,Economie,inf,80.16,34,7,33F
41,80,femmes,Economie,55.0,65.51,12,6,11E
41,81,hommes,Economie,55.0,80.17,12,5,11D
42,82,hommes,Economie,75.0,80.18,14,5,14D
43,83,hommes,Economie,inf,80.19,28,7,27F
44,84,hommes,Economie,inf,80.2,31,1,30A
45,85,femmes,Economie,inf,65.52,26,3,25C
45,86,femmes,Economie,inf,65.53,27,3,26C
45,87,femmes,Economie,inf,65.54,26,2,25B
45,88,femmes,Economie,inf,65.55,26,5,25D
45,89,femmes,Economie,inf,65.56,26,1,25A
45,90,femmes,Economie,inf,65.57,27,5,26D
45,91,femmes,Economie,inf,65.58,27,2,26B
46,92,femmes,Economie,inf,65.59,27,6,26E
47,93,hommes,Economie,inf,80.21,27,7,26F
48,94,hommes,Economie,inf,80.22,34,5,33D
49,95,hommes,Economie,inf,80.23,20,1,20A
50,96,hommes,Issue de secours,inf,80.24,24,1,23A
50,97,WHCR,Issue de secours,inf,70.04,24,2,23B
51,98,femmes,Business,inf,65.6,6,1,6A
52,99,femmes,Economie,inf,65.61,32,5,31D
53,100,hommes,Business,inf,80.25,3,5,3D
