ID Groupe,ID Passager,Catégorie,Classe,Transit Time,Poids,x,y,Siège
0,0,hommes,Business,75.0,80.0,5,5,5D
1,1,femmes,Economie,inf,65.0,18,1,18A
2,2,hommes,Economie,inf,80.01,30,5,29D
3,3,femmes,Economie,inf,65.01,21,6,21E
4,4,hommes,Economie,325.0,80.02,16,1,16A
4,5,hommes,Economie,325.0,80.03,16,2,16B
5,6,femmes,Issue de secours,inf,65.02,24,1,23A
6,7,femmes,Economie,190.0,65.03,13,7,12F
7,8,femmes,Business,80.0,65.04,6,2,6B
7,9,hommes,Business,80.0,80.04,6,3,6C
8,10,hommes,Economie,140.0,80.05,13,6,12E
9,11,femmes,Economie,inf,65.05,34,7,33F
10,12,femmes,Economie,235.0,65.06,15,3,15C
10,13,hommes,Economie,235.0,80.06,15,2,15B
11,14,hommes,Business,70.0,80.07,4,7,4F
12,15,hommes,Economie,inf,80.08,28,7,27F
13,16,femmes,Economie,inf,65.07,35,2,34B
13,17,hommes,Economie,inf,80.09,35,1,34A
14,18,hommes,Economie,360.0,80.1,16,5,16D
15,19,hommes,Business,95.0,80.11,8,5,8D
16,20,femmes,Business,60.0,65.08,1,7,1F
16,21,hommes,Business,60.0,80.12,1,6,1E
17,22,hommes,Economie,120.0,80.13,11,1,10A
18,23,femmes,Economie,inf,65.09,35,5,34D
18,24,femmes,Economie,inf,65.1,36,5,35D
18,25,hommes,Economie,inf,80.14,36,6,35E
18,26,hommes,Economie,inf,80.15,35,6,34E
19,27,femmes,Business,65.0,65.11,3,5,3D
19,28,femmes,Business,65.0,65.12,4,5,4D
19,29,hommes,Business,65.0,80.16,3,6,3E
19,30,hommes,Business,65.0,80.17,4,6,4E
20,31,femmes,Economie,inf,65.13,36,2,35B
20,32,femmes,Economie,inf,65.14,36,1,35A
20,33,enfants,Economie,inf,35.0,36,3,35C
21,34,femmes,Business,65.0,65.15,3,3,3C
22,35,femmes,Business,50.0,65.16,1,2,1B
22,36,hommes,Business,50.0,80.18,1,3,1C
23,37,femmes,Economie,inf,65.17,27,2,26B
23,38,hommes,Economie,inf,80.19,27,3,26C
24,39,hommes,Business,80.0,80.2,6,1,6A
25,40,hommes,Economie,inf,80.21,32,5,31D
26,41,hommes,Economie,inf,80.22,33,3,32C
26,42,hommes,Economie,inf,80.23,33,2,32B
27,43,hommes,Economie,210.0,80.24,15,1,15A
28,44,femmes,Economie,360.0,65.18,16,3,16C
29,45,hommes,Economie,190.0,80.25,13,5,12D
30,46,femmes,Business,95.0,65.19,7,5,7D
30,47,hommes,Business,95.0,80.26,7,6,7E
31,48,hommes,Economie,inf,80.27,32,6,31E
32,49,hommes,Economie,360.0,80.28,15,5,15D
33,50,femmes,Business,90.0,65.2,6,6,6E
33,51,hommes,Business,90.0,80.29,6,5,6D
34,52,femmes,Business,70.0,65.21,4,2,4B
34,53,hommes,Business,70.0,80.3,4,3,4C
35,54,femmes,Economie,inf,65.22,28,3,27C
36,55,hommes,Economie,140.0,80.31,13,1,12A
37,56,hommes,Economie,210.0,80.32,14,5,14D
38,57,femmes,Business,95.0,65.23,8,3,8C
38,58,hommes,Business,95.0,80.33,8,2,8B
39,59,hommes,Business,45.0,80.34,1,5,1D
40,60,hommes,Economie,inf,80.35,35,3,34C
41,61,hommes,Economie,inf,80.36,33,5,32D
42,62,hommes,Economie,inf,80.37,34,6,33E
43,63,hommes,Economie,inf,80.38,27,1,26A
44,64,femmes,Economie,inf,65.24,32,1,31A
44,65,hommes,Economie,inf,80.39,32,2,31B
45,66,hommes,Business,80.0,80.4,6,7,6F
46,67,hommes,Business,70.0,80.41,4,1,4A
47,68,femmes,Business,70.0,65.25,3,7,3F
48,69,hommes,Economie,inf,80.42,35,7,34F
49,70,femmes,Economie,inf,65.26,31,7,30F
50,71,femmes,Economie,inf,65.27,30,3,29C
50,72,hommes,Economie,inf,80.43,30,2,29B
51,73,femmes,Business,60.0,65.28,2,7,2F
52,74,femmes,Business,60.0,65.29,1,1,1A
53,75,femmes,Economie,inf,65.3,31,3,30C
54,76,femmes,Economie,inf,65.31,34,1,33A
54,77,hommes,Economie,inf,80.44,34,2,33B
55,78,femmes,Economie,inf,65.32,31,2,30B
55,79,hommes,Economie,inf,80.45,31,1,30A
56,80,femmes,Issue de secours,95.0,65.33,10,6,9E
56,81,hommes,Issue de secours,95.0,80.46,10,7,9F
57,82,hommes,Economie,inf,80.47,30,1,29A
58,83,femmes,Business,70.0,65.34,5,7,5F
58,84,hommes,Business,70.0,80.48,5,6,5E
59,85,femmes,Economie,120.0,65.35,11,5,10D
60,86,femmes,Economie,inf,65.36,30,6,29E
60,87,hommes,Economie,inf,80.49,30,7,29F
61,88,hommes,Economie,inf,80.5,29,2,28B
62,89,femmes,Economie,120.0,65.37,12,2,11B
62,90,hommes,Economie,120.0,80.51,12,3,11C
63,91,hommes,Economie,140.0,80.52,13,2,12B
64,92,femmes,Economie,inf,65.38,18,7,18F
64,93,femmes,Economie,inf,65.39,18,6,18E
64,94,hommes,Economie,inf,80.53,18,5,18D
65,95,femmes,Economie,190.0,65.4,14,7,14F
66,96,hommes,Economie,inf,80.54,25,6,24E
67,97,femmes,Economie,inf,65.41,17,2,17B
67,98,hommes,Economie,inf,80.55,17,1,17A
68,99,hommes,Economie,inf,80.56,26,2,25B
69,100,femmes,Economie,inf,65.42,29,3,28C
70,101,femmes,Economie,120.0,65.43,12,6,11E
70,102,hommes,Economie,120.0,80.57,12,7,11F
71,103,femmes,Economie,inf,65.44,34,5,33D
72,104,hommes,Economie,210.0,80.58,14,3,14C
73,105,hommes,Business,65.0,80.59,3,2,3B
