ID Groupe,ID Passager,Catégorie,Classe,Transit Time,Poids,x,y,Siège
0,0,hommes,Economie,inf,80.0,25,3,24C
1,1,femmes,Economie,140.0,65.0,21,6,21E
2,2,femmes,Business,55.0,65.01,4,1,4A
2,3,hommes,Business,55.0,80.01,4,5,4D
3,4,hommes,Economie,inf,80.02,29,7,28F
4,5,femmes,Economie,inf,65.02,30,6,29E
5,6,femmes,Business,55.0,65.03,2,2,2B
5,7,hommes,Business,55.0,80.03,2,3,2C
5,8,enfants,Business,55.0,35.0,2,1,2A
6,9,hommes,Economie,inf,80.04,31,2,30B
7,10,hommes,Economie,90.0,80.05,12,1,11A
8,11,hommes,Economie,inf,80.06,30,5,29D
9,12,hommes,Economie,inf,80.07,36,5,35D
10,13,femmes,Economie,130.0,65.04,18,1,18A
11,14,hommes,Economie,130.0,80.08,19,1,19A
12,15,femmes,Business,70.0,65.05,7,5,7D
13,16,femmes,Business,55.0,65.06,3,3,3C
13,17,hommes,Business,55.0,80.09,3,2,3B
14,18,hommes,Economie,inf,80.1,36,7,35F
15,19,femmes,Economie,140.0,65.07,21,2,21B
16,20,femmes,Economie,inf,65.08,28,6,27E
17,21,femmes,Economie,inf,65.09,34,7,33F
18,22,femmes,Economie,135.0,65.1,20,5,20D
19,23,femmes,Economie,inf,65.11,34,3,33C
20,24,hommes,Business,80.0,80.11,8,1,8A
21,25,hommes,Economie,inf,80.12,28,3,27C
22,26,femmes,Economie,inf,65.12,25,2,24B
23,27,hommes,Issue de secours,80.0,80.13,10,1,9A
24,28,hommes,Economie,inf,80.14,28,5,27D
25,29,hommes,Economie,80.0,80.15,16,6,16E
25,30,hommes,Economie,80.0,80.16,16,5,16D
26,31,femmes,Issue de secours,inf,65.13,24,2,23B
26,32,hommes,Issue de secours,inf,80.17,24,1,23A
27,33,femmes,Business,60.0,65.14,4,7,4F
27,34,femmes,Business,60.0,65.15,6,1,6A
27,35,enfants,Business,60.0,35.01,4,3,4C
27,36,enfants,Business,60.0,35.02,4,2,4B
27,37,enfants,Business,60.0,35.03,6,6,6E
27,38,enfants,Business,60.0,35.04,4,6,4E
27,39,enfants,Business,60.0,35.05,6,5,6D
27,40,enfants,Business,60.0,35.06,5,2,5B
27,41,enfants,Business,60.0,35.07,6,7,6F
27,42,enfants,Business,60.0,35.08,6,3,6C
27,43,enfants,Business,60.0,35.09,5,3,5C
27,44,enfants,Business,60.0,35.1,5,7,5F
27,45,enfants,Business,60.0,35.11,5,5,5D
27,46,enfants,Business,60.0,35.12,5,6,5E
27,47,enfants,Business,60.0,35.13,6,2,6B
27,48,enfants,Business,60.0,35.14,5,1,5A
28,49,femmes,Economie,inf,65.16,35,5,34D
29,50,femmes,Economie,95.0,65.17,15,7,15F
30,51,hommes,Economie,120.0,80.18,17,1,17A
31,52,hommes,Economie,inf,80.19,33,3,32C
32,53,femmes,Business,70.0,65.18,8,5,8D
33,54,femmes,Economie,75.0,65.19,13,5,12D
33,55,femmes,Economie,75.0,65.2,13,6,12E
34,56,femmes,Economie,inf,65.21,30,3,29C
35,57,femmes,Economie,80.0,65.22,15,2,15B
35,58,hommes,Economie,80.0,80.2,15,3,15C
36,59,femmes,Economie,100.0,65.23,19,3,19C
36,60,hommes,Economie,100.0,80.21,19,2,19B
37,61,femmes,Economie,80.0,65.24,16,2,16B
37,62,hommes,Economie,80.0,80.22,16,3,16C
38,63,hommes,Economie,inf,80.23,33,1,32A
39,64,hommes,Economie,inf,80.24,28,1,27A
40,65,hommes,Issue de secours,60.0,80.25,10,2,9B
40,66,hommes,Issue de secours,60.0,80.26,10,3,9C
41,67,femmes,Economie,105.0,65.25,16,7,16F
42,68,femmes,Economie,105.0,65.26,20,7,20F
42,69,hommes,Economie,105.0,80.27,20,6,20E
43,70,femmes,Economie,105.0,65.27,18,6,18E
43,71,hommes,Economie,105.0,80.28,18,7,18F
44,72,femmes,Economie,inf,65.28,29,6,28E
45,73,hommes,Economie,inf,80.29,35,6,34E
46,74,femmes,Economie,80.0,65.29,13,3,12C
46,75,femmes,Economie,80.0,65.3,13,1,12A
46,76,hommes,Economie,80.0,80.3,13,2,12B
47,77,femmes,Economie,inf,65.31,29,1,28A
