Femmes,Hommes,Enfants,WCHR,Classe,TransitTime
0,1,0,0,Y,01:15:00
1,0,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
0,2,0,0,Y,05:25:00
1,0,0,0,Y,00:00:00
1,0,0,0,Y,03:10:00
1,1,0,0,Y,01:20:00
0,1,0,0,Y,02:20:00
1,0,0,0,Y,00:00:00
1,1,0,0,Y,03:55:00
0,1,0,0,Y,01:10:00
0,1,0,0,Y,00:00:00
1,1,0,0,Y,00:00:00
0,1,0,0,Y,06:00:00
0,1,0,0,Y,01:35:00
1,1,0,0,Y,01:00:00
0,1,0,0,Y,02:00:00
2,2,0,0,Y,00:00:00
2,2,0,0,Y,01:05:00
2,0,1,0,Y,00:00:00
1,0,0,0,Y,01:05:00
1,1,0,0,Y,00:50:00
1,1,0,0,Y,00:00:00
0,1,0,0,Y,01:20:00
0,1,0,0,Y,00:00:00
0,2,0,0,Y,00:00:00
0,1,0,0,Y,03:30:00
1,0,0,0,Y,06:00:00
0,1,0,0,Y,03:10:00
1,1,0,0,Y,01:35:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,06:00:00
1,1,0,0,Y,01:30:00
1,1,0,0,Y,01:10:00
1,0,0,0,Y,00:00:00
0,1,0,0,Y,02:20:00
0,1,0,0,Y,03:30:00
1,1,0,0,Y,01:35:00
0,1,0,0,Y,00:45:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,1,0,0,Y,00:00:00
0,1,0,0,Y,01:20:00
0,1,0,0,Y,01:10:00
1,0,0,0,Y,01:10:00
0,1,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,1,0,0,Y,00:00:00
1,0,0,0,Y,01:00:00
1,0,0,0,Y,01:00:00
1,0,0,0,Y,00:00:00
1,1,0,0,Y,00:00:00
1,1,0,0,Y,00:00:00
1,1,0,0,Y,01:35:00
0,1,0,0,Y,00:00:00
1,1,0,0,Y,01:10:00
1,0,0,0,Y,02:00:00
1,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,1,0,0,Y,02:00:00
0,1,0,0,Y,02:20:00
2,1,0,0,Y,00:00:00
1,0,0,0,Y,03:10:00
0,1,0,0,Y,00:00:00
1,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,1,0,0,Y,02:00:00
1,0,0,0,Y,00:00:00
0,1,0,0,Y,03:30:00
0,1,0,0,Y,01:05:00
0,1,0,0,Y,01:35:00
1,0,0,0,Y,01:35:00
1,1,0,0,Y,01:00:00
0,1,0,0,Y,03:30:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,01:40:00
0,1,0,0,Y,02:00:00
0,1,0,0,Y,01:40:00
0,1,0,0,Y,01:40:00
0,1,0,0,Y,01:40:00
0,1,0,0,Y,01:40:00
0,1,0,0,Y,01:10:00
1,1,0,0,Y,01:00:00
1,0,0,0,Y,00:00:00
1,0,0,0,Y,02:00:00
1,0,0,0,Y,00:00:00
0,1,0,0,Y,01:00:00
1,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,1,0,0,Y,01:30:00
1,0,0,0,Y,02:15:00
0,1,0,0,Y,06:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,03:30:00
1,0,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
0,1,0,0,Y,01:40:00
1,1,0,0,Y,01:20:00
1,1,0,0,Y,00:00:00
1,0,0,0,Y,02:15:00
0,1,0,0,Y,02:15:00
1,0,0,0,Y,03:30:00
2,0,0,0,Y,05:25:00
2,0,0,0,Y,05:25:00
2,0,0,0,Y,01:35:00
0,1,0,0,Y,01:00:00
