Femmes,Hommes,Enfants,WCHR,Classe,TransitTime
1,1,3,0,Y,01:10:00
1,0,0,0,Y,01:10:00
1,1,0,0,Y,01:00:00
1,1,2,0,Y,00:00:00
1,0,0,0,Y,00:00:00
0,6,0,0,Y,02:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,1,0,0,Y,00:00:00
4,4,6,0,Y,01:30:00
1,0,0,0,Y,01:30:00
1,1,0,0,Y,01:05:00
1,0,0,0,Y,01:35:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
0,1,0,0,Y,01:10:00
1,0,0,0,Y,00:00:00
1,1,0,0,Y,01:20:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,0,0,0,Y,07:25:00
1,0,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,1,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,0,0,0,Y,01:35:00
1,0,0,0,Y,00:00:00
1,1,0,0,Y,03:30:00
1,0,0,0,Y,01:00:00
1,0,0,0,Y,02:20:00
1,1,0,0,Y,02:00:00
0,1,0,0,Y,01:30:00
0,1,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
0,0,1,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,0,0,0,Y,01:30:00
0,1,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,1,0,0,Y,02:15:00
1,0,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
4,0,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
0,1,0,0,Y,02:15:00
1,0,0,0,Y,00:00:00
1,1,0,0,Y,02:15:00
0,1,0,0,Y,00:00:00
2,0,0,0,Y,00:00:00
1,1,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
0,1,0,0,Y,02:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,1,0,0,Y,00:00:00
0,1,0,0,Y,01:10:00
1,1,0,0,Y,02:00:00
15,0,0,0,Y,00:00:00
0,1,0,0,Y,02:00:00
1,1,0,0,Y,00:00:00
1,0,0,0,Y,03:30:00
1,0,0,0,Y,00:00:00
0,6,2,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
0,1,0,0,Y,02:15:00
1,0,0,0,Y,00:00:00
1,3,0,0,Y,00:45:00
0,1,0,0,Y,00:00:00
2,0,0,0,Y,00:00:00
