Femmes,Hommes,Enfants,WCHR,Classe,TransitTime
1,0,10,0,Y,00:00:00
0,0,5,0,Y,00:00:00
0,1,2,0,Y,00:00:00
0,0,1,0,Y,00:00:00
0,0,1,0,Y,00:00:00
0,1,2,0,Y,00:00:00
0,1,2,0,Y,01:00:00
0,0,10,0,Y,00:00:00
0,0,2,0,Y,00:00:00
0,2,0,0,Y,01:00:00
0,0,1,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,0,1,0,Y,00:00:00
0,0,1,0,Y,00:00:00
0,0,1,0,Y,01:00:00
0,0,1,0,Y,00:00:00
1,0,1,0,Y,00:00:00
1,0,0,0,Y,00:00:00
0,0,1,0,Y,00:00:00
0,0,1,0,Y,00:00:00
2,0,15,0,Y,01:25:00
2,0,15,0,Y,00:00:00
0,0,1,0,Y,01:00:00
0,0,1,0,Y,01:25:00
1,0,0,0,Y,00:00:00
1,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,0,1,0,Y,00:00:00
0,0,1,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,0,2,0,Y,01:25:00
0,0,2,0,Y,00:00:00
0,0,1,0,Y,01:25:00
0,0,1,0,Y,00:00:00
0,0,2,0,Y,01:00:00
0,0,2,0,Y,00:00:00
0,0,2,0,Y,00:00:00
1,0,0,0,Y,01:25:00
1,0,0,0,Y,00:00:00
0,0,2,0,Y,00:00:00
0,0,2,0,Y,01:25:00
0,0,1,0,Y,00:00:00
0,2,0,0,Y,00:00:00
0,0,1,0,Y,00:00:00
0,0,1,0,Y,00:00:00
0,0,1,0,Y,00:00:00
0,0,1,0,Y,00:00:00
0,0,1,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,1,2,0,Y,00:00:00
1,1,2,0,Y,00:00:00
1,0,0,0,Y,00:00:00
0,0,2,0,Y,01:00:00
0,0,1,0,Y,00:00:00
0,0,1,0,Y,01:25:00
0,0,1,0,Y,00:00:00
