Femmes,Hommes,Enfants,WCHR,Classe,TransitTime
1,1,1,0,Y,00:00:00
0,1,0,0,Y,01:00:00
1,1,0,0,Y,02:45:00
0,1,1,1,Y,00:00:00
3,0,0,0,Y,00:00:00
1,1,0,0,J,00:00:00
1,1,0,0,J,01:25:00
0,0,1,0,Y,00:00:00
5,2,0,0,Y,01:00:00
1,0,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
0,2,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,3,0,0,Y,00:00:00
2,0,0,0,Y,00:00:00
1,0,0,0,Y,01:00:00
1,0,0,0,Y,00:00:00
0,1,1,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
4,1,0,0,Y,00:00:00
1,1,0,0,Y,00:00:00
0,0,0,0,Y,01:00:00
2,0,0,0,Y,00:00:00
0,1,0,0,J,00:00:00
0,1,0,0,J,00:00:00
0,1,0,0,Y,01:25:00
1,1,0,0,Y,01:25:00
1,2,1,0,Y,00:00:00
0,5,0,0,Y,00:00:00
0,6,0,0,Y,00:00:00
1,1,0,0,Y,01:25:00
1,1,0,0,Y,00:00:00
2,0,0,0,Y,01:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,0,0,1,Y,00:00:00
1,0,0,1,Y,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,02:45:00
5,0,0,0,Y,00:00:00
2,0,0,0,Y,01:25:00
0,1,0,0,Y,01:25:00
1,1,1,0,Y,00:00:00
1,0,0,0,J,00:00:00
1,0,0,0,J,00:00:00
0,0,0,1,Y,00:00:00
1,0,0,0,J,00:00:00
0,1,0,0,J,00:00:00
1,0,0,0,J,00:00:00
1,0,0,0,J,00:00:00
