Femmes,Hommes,Enfants,WCHR,Classe,TransitTime
1,0,0,0,J,00:55:00
0,0,1,0,Y,00:00:00
1,0,0,1,Y,01:15:00
1,1,0,0,J,03:15:00
1,0,0,0,Y,00:00:00
2,0,0,0,Y,00:00:00
0,0,0,1,Y,00:00:00
1,4,0,0,Y,00:00:00
4,0,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,1,0,0,Y,00:00:00
5,0,0,0,Y,00:00:00
2,0,0,0,Y,01:15:00
4,1,0,0,Y,00:55:00
1,0,0,0,Y,00:00:00
0,0,0,1,Y,00:55:00
1,1,0,0,J,00:00:00
5,0,0,0,Y,01:15:00
1,0,0,0,Y,03:15:00
2,0,0,0,Y,01:15:00
0,0,0,1,Y,00:00:00
1,0,0,0,Y,00:00:00
1,1,1,0,Y,00:00:00
6,0,0,0,Y,01:15:00
1,0,0,0,Y,00:00:00
0,0,1,0,Y,00:55:00
0,1,1,0,Y,00:00:00
0,0,1,0,Y,00:00:00
0,0,1,0,Y,00:00:00
0,1,0,0,J,00:00:00
1,0,0,0,J,00:00:00
1,0,0,0,J,00:00:00
0,0,1,0,Y,00:55:00
0,0,1,0,Y,00:00:00
1,0,0,0,J,00:00:00
1,1,0,0,J,00:55:00
1,0,0,0,J,00:00:00
2,1,0,0,Y,00:00:00
1,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,2,0,0,Y,00:00:00
1,1,0,0,Y,00:55:00
0,1,0,0,Y,01:15:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
7,0,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,1,Y,00:00:00
1,0,0,0,J,00:00:00
1,0,0,0,Y,00:00:00
0,1,0,0,J,00:00:00
0,1,0,0,J,00:00:00
0,1,0,0,J,03:15:00
1,1,2,0,J,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,2,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
0,1,0,0,Y,01:15:00
0,1,0,0,Y,00:55:00
2,2,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
0,1,1,0,Y,03:15:00
0,1,0,0,J,00:00:00
0,1,0,0,J,00:00:00
0,1,0,0,Y,00:00:00
1,0,0,0,J,00:00:00
0,1,0,0,Y,00:55:00
1,1,0,0,Y,01:15:00
0,1,2,0,Y,03:15:00
0,1,2,0,Y,00:00:00
1,1,0,0,J,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,2,0,0,Y,09:00:00
0,1,0,0,Y,01:15:00
1,1,0,0,Y,00:55:00
0,2,1,0,Y,00:00:00
0,2,1,0,Y,00:00:00
0,2,0,0,Y,00:00:00
0,2,0,0,Y,00:00:00
1,0,0,1,Y,00:00:00
1,0,0,0,Y,03:15:00
0,1,2,0,Y,00:00:00
0,1,2,0,Y,00:00:00
